Nome Studio;Citta;Regione;Sito Web;Email contatto;Progetto piu aggiornato trovato;Partner/Fondatori trovati;Fonte dettagli;Stato verifica
FFD Studio;Roma;Lazio;https://ffdstudio.it/;info@ffdstudio.eu;Portfolio home 2026, progetti residenziali e banking non nominati in home;Riccardo Marinelli, Giulio Molaioli;https://ffdstudio.it/manifesto e https://www.ffdstudio.it/team/;Verificato sito ufficiale
Studio Se77e;Roma;Lazio;Da verificare;Da verificare;Da verificare su profilo/sito;Da verificare, profilo collettivo StudioSe77e;https://www.archilovers.com/studio-sette/;Parziale, manca sito ufficiale/email
STUDIO ARTES;Roma;Lazio;Da verificare;Da verificare;Da verificare, profilo senza progetti pubblicati;Federico Porcari, Gent Islami;https://www.archilovers.com/teams/572001/studio-artes.html;Parziale, telefono verificato ma email non trovata
LcR studio;Roma;Lazio;Da verificare;Da verificare;Da verificare, profilo senza progetti pubblicati;Carolina Reale;https://www.archilovers.com/teams/162856/lcr-studio.html;Parziale, manca sito ufficiale/email
Studio Da Gai Architetti;Roma;Lazio;https://www.dagaiarchitetti.it/;info@enricodagai.it;Manutenzione straordinaria sede zonale Villa Borghese, progetto esecutivo 2025;Enrico Da Gai, Elena Parducci, Emanuele Barco, Emanuele Pozzilli, Tommaso Ferracuti, Stefano Cestra;https://www.archilovers.com/teams/573337/studio-da-gai-architetti.html e https://www.comune.roma.it/web-resources/cms/documents/NOCIGVillaBorghese_PIANOD_DI_MANUTENZIONE_IMPIANTI_ELETTRICI_E_SPECIALI-PDM.03.pdf;Verificato da fonti pubbliche
02A Studio Architettura & Design;Roma;Lazio;https://www.02a.it/;architettura@02a.it;Da verificare su portfolio sito, Houzz con molti progetti;Thomas Grossi, Marco Rulli;https://www.houzz.it/professionisti/architetti/02a-studio-architettura-e-design-pfvwit-pf~1511617858;Verificato da Houzz e fonte contatto pubblica
L2 Architettura Studio;Roma;Lazio;https://l2architettura.it/;studio.l2architettura@gmail.com;Villa 312 - Casablanca, in progress;Da verificare, studio nato dalla fusione di due personalita;https://l2architettura.it/progetti e https://l2architettura.it/contatto;Verificato sito ufficiale
FaMo architettura;Roma;Lazio;https://famoarchitettura.com/;famo.architettura@gmail.com;Da verificare su portfolio, sito con testimonianze ristrutturazioni;Giulia Fatarella, Federica Mocetti;https://famoarchitettura.com/chi-siamo;Verificato sito ufficiale
MOB Architects;Roma;Lazio;https://mobarchitects.com/;infomobarchitects@gmail.com;Regina Margherita, Besso, Madesimo, Ninfa in portfolio;Da verificare, fondatore indicato in bio ma nome non esplicito nello snippet;https://mobarchitects.com/ e https://mobarchitects.com/projects/;Verificato sito ufficiale, partner da completare
matca studio;Roma;Lazio;Da verificare;Da verificare;Casa EB, Roma, 2022;Mario e Tania, cognomi da verificare;https://www.archisio.it/pro/matca-studio e https://www.arbiarredobagno.com/projects/casa-eb-matca-studio/;Parziale, manca sito ufficiale/email
ULA architects;Roma;Lazio;https://www.ularchitects.com/;info@ularchitects.com;Da verificare su portfolio sito;Da verificare;https://www.ularchitects.com/contact;Verificato sito ufficiale
Arco Associati Studio di architettura e ingegneria;Milano;Lombardia;https://www.arcoassociati.com/;arco@arcoassociati.com;Arena di Verona, accoglienza Olimpiadi Milano-Cortina 26;Giulio Fenyves;https://www.arcoassociati.com/ e https://www.arcoassociati.com/Arco%20Associati%20-%20Contacts.html;Verificato sito ufficiale
Studio Tenca & Associati;Milano;Lombardia;https://www.studiotenca.it/;info@studiotenca.it;Appartamento Cocoon, SB House, MPPM in home;GianPiero Tenca, Emilio Leonida Tenca;https://www.studiotenca.it/;Verificato sito ufficiale
PLUS ULTRA studio;Milano;Lombardia;https://www.plusultra-studio.com/;info@plusultra-studio.com;GNDM_Cantarini, Urbino, 2025;Marco Di Nallo, Alessandra Castelbarco Albani, Cornelia Mattiacci da verificare ruoli;https://www.plusultra-studio.com/contact e https://www.archilovers.com/teams/648568/plus-ultra-studio.html;Verificato con sito ufficiale e Archilovers
Studiolatte;Milano;Lombardia;https://studio-latte.com/;info@studio-latte.com;IDOL acoustic design per Slalom Acoustic & Partition Systems, citato come Best of Year update 2026;Matteo Andrenelli, Isabella Del Grandi;https://studio-latte.com/ e https://www.archilovers.com/teams/747639/studiolatte.html;Verificato sito ufficiale
dxp architetti;Milano;Lombardia;https://www.dxparchitetti.it/;info@dxparchitetti.it;Apt. TG e La Ciclistica Milano in portfolio;Danielle Cohen, Iris Capra, Chiara Confalonieri;https://www.dxparchitetti.it/studio e https://www.dxparchitetti.it/contact;Verificato sito ufficiale
8&A architetti;Milano;Lombardia;https://8ea.it/;Da verificare;Penthouse con patio, profilo Homify/Houzz;Anna Barile, Antonio Ottoboni;https://8ea.it/ e https://www.archilovers.com/teams/748388/8-a-architetti.html;Parziale, sito e partner verificati ma email non trovata
Desearq Studio;Milano;Lombardia;https://www.desearq.com/;info@desearq.com;Appartamento FB4, 03 Apr 2026;Nicola Maglione, Helena La Camera;https://www.desearq.com/ e https://www.desearq.com/contatti/;Verificato sito ufficiale
GA.NG Architetti;Milano;Lombardia;https://www.giacomonasini.com/;architetti@giacomonasini.com;Casa P, Barzac, Casa Farini, aggiornamenti progetto in home;Giacomo Nasini;https://www.giacomonasini.com/ e https://www.giacomonasini.com/il-team;Verificato sito ufficiale
Re_novo studio;Milano;Lombardia;https://www.renovostudio.it/;info@renovostudio.it;Linarolo tra terra e acqua, 2016 su Archilovers;Fabio Viti, Antonella Gariboldi, Mauro Chiesa;https://www.renovostudio.it/chi-siamo/ e https://www.renovostudio.it/;Verificato sito ufficiale
Architetto Cinzia Pagni;Milano;Lombardia;Da verificare;cinzia.pagni@fastwebnet.it;Da verificare, Houzz senza progetti nello snippet;Cinzia Pagni;https://www.houzz.it/professionisti/architetti/architetto-cinzia-pagni-pfvwit-pf~689559495;Verificato da profilo Houzz
ARCHILANDstudio;Torino;Piemonte;https://www.archilandstudio.com/;archilandstudio@gmail.com;Casa Ferrero, nuova sede internazionale Ferrero in Lussemburgo, Office space of the year 2021;Paolo Maldotti, Mirjami Hoppendorff, Massimo Bianco;https://www.archilandstudio.com/ e https://www.rdeditore.it/it/category/architetti-partner-100pr-5-edizione/page/3/;Verificato da fonti pubbliche
Cohesion Studio;Torino;Piemonte;https://www.cohesionstudio.it/;studio@cohesionstudio.it;AVZ Residence, 2023;Giuseppe Pasquero, Andrea Levra Levron, Valeria Maruccia;https://www.cohesionstudio.it/studio e https://www.archilovers.com/teams/732980/cohesion-studio.html;Verificato sito ufficiale
ARCHICURA;Torino;Piemonte;https://www.archicura.it/;info@archicura.it;Nuovo Ospedale Michele e Pietro Ferrero, 2020;Paolo Dellapiana, Ugo Dellapiana, Valentina Giacomini, Antonella Senor;https://www.archicura.it/en/studio/ e https://www.archilovers.com/teams/156529/archicura.html;Verificato sito ufficiale
ARCHILOCO studio associato;Torino;Piemonte;https://www.archiloco.it/;info@archiloco.it;Scuola materna di Levate in home, Universita degli Studi di Milano Lodi 2020 su Archilovers;Laura Porporato, Silvano Bandolin, Saverio Verde;https://www.archiloco.it/it/contattaci/ e https://www.archilovers.com/teams/124479/archiloco-studio-associato.html;Verificato sito ufficiale
MGA4studio Bellora Morisano Architetti;Torino;Piemonte;https://www.mga4studio.com/;info@mga4studio.com;Adeguamento liturgico chiesa di Santa Maria della Motta, 2024;Mauro Bellora, Giuliana Morisano;https://www.mga4studio.com/contatti/ e https://www.mga4studio.com/progetti/;Verificato sito ufficiale
follow the architect;Torino;Piemonte;https://followthearchitect.com/;studio@followthearchitect.com;PARALLELI 02, 2024;Sandra Giannini, Santiago Gomes, Paolo Maccario;https://followthearchitect.com/ e https://followthearchitect.com/contacts;Verificato sito ufficiale
F:L architetti;Torino;Piemonte;https://www.flarchitetti.com/;fc@flarchitetti.com;Casa Y e AMILU FARM citati tra lavori recenti riconosciuti;Luca Maria Gandini, Fabrizio Caudana, Alberto Minero;https://www.flarchitetti.com/about-us/ e https://www.rdeditore.it/it/architetti-partner-100pr-4-edizione/fl-architetti/;Verificato sito ufficiale
Boda architetti;Torino;Piemonte;https://www.bodaarchitetti.it/;info@bodaarchitetti.it;Casa teatro in home;Daniel Antonini, Federico Bertoli;https://www.bodaarchitetti.it/studio/ e https://www.bodaarchitetti.it/call-on-us/;Verificato sito ufficiale
Idaa Architetti;Torino;Piemonte;https://www.idaa.it/;info@idaa.it;Casa Ulivo, 17 Feb 2026;Marco Sarotto, Alessandro da verificare cognome;https://www.idaa.it/chi-siamo/ e https://www.idaa.it/project/;Verificato sito ufficiale, un cognome da completare
MSA Studio di Architettura e Design;Torino;Piemonte;https://studio-msa.com/;info@msastudio.it;Residenza PG, ultimo progetto in evidenza;Matteo Serluca, Cecilia Pesando;https://studio-msa.com/ e https://studio-msa.com/chi-siamo/;Verificato sito ufficiale
