Nome Studio;Nome Titolare;Email;Progetto Recente;Categoria
Tommaso Giunchi Architetti;Arch. Giunchi;info@tommasogiunchi.it;Hotel 5 stelle lusso Galleria Vik Milano;Non Under 40
Studio14;Arch. Macchi;info@studio14.it;Progetto residenziale Casa Zamagna;Non Under 40
Clara Rognoni Valeriani;Arch. Rognoni;clara.rognoni@valeriani.org;Ristrutturazione in Via Bianca di Savoia 12A;Non Under 40
07am Architetti;Arch. Simone;info@07am.it;Realizzazione dello studio di fisioterapia a Roma;Non Under 40
ERA Architectures;Arch. Realacci;info@architectures.it;Ristrutturazione appartamento alla Garbatella;Non Under 40
Studio Bianchi Architettura;Arch. Bianchi;info@studiobianchiarchitettura.com;Loft ristrutturato sulla via Appia Antica;Non Under 40
Silvia Stella Galimberti;Arch. Galimberti;info@silviastellagalimberti.com;"Interior design per ""The Lawyer Office""";Non Under 40
Picco Architetti;Arch. Picco;info@piccoarchitetti.it;Complesso residenziale d'eccellenza Lagrange12;Non Under 40
Negozio Blu Architetti;Arch. Ambrosini;info@negoziobluarchitetti.it;Green Pea Retail Park a Torino;Non Under 40
Metroarea;Arch. Baroncelli;bologna@metroarea.it;Nuovo Centro Congressi della Regione Sicilia;Non Under 40
Studio Bettini;Arch. Bettini;sergio@studiobettini.com;Progetti innovativi di Design Ability e Accessibilità;Non Under 40
SUMs Architects;Arch. Papinutto;sums@sumsarchitects.it;Strategie di Universal Design e pianificazione sostenibile;Non Under 40
Studio Lenzi & Associati;Arch. Lenzi;info@studio-lenzi.it;Interventi contemporanei nel contesto urbano di Bologna;Non Under 40
Archisbang;Arch. Minutolo;info@archisbang.com;Riqualificazione della Scuola Pascoli a Torino;Non Under 40
Studio Pat;Arch. Veglia;info@studiopat.it;"Rilancio e riqualificazione ""Lotto Zero"" della GAM di Torino";Non Under 40
WAU Architetti;Arch. Nomis;info@wauarchitetti.it;Centro diurno per minori stranieri in Via Mameli;Non Under 40
QBO Architetti;Arch. Baldrighi;o.baldrighi@qboarchitetti.com;Recupero e integrazione tecnologica di edifici esistenti;Non Under 40
LPV Architects;Arch. Piantanida;info@lpvarchitects.it;Ristrutturazione di pregio in centro a Milano;Non Under 40
SMAPROGETTI;Arch. Associati;info@smaprogetti.it;Sviluppo della cultura del progetto su scala urbana;Non Under 40
GEZA Architettura;Arch. Gri;info@geza.it;Masterplan industriali e nuovi spazi per il lavoro;Non Under 40
BDR bureau;Arch. Bottero;info@bdrbureau.com;Riqualificazione della Scuola Enrico Fermi a Torino;Giovani Under 40
SET Architects;Arch. Tanci;info@set-architects.com;Casa Platform Roma a Palazzo Taverna;Giovani Under 40
Margine;Arch. Ciccarese;info@margine.net;Ristrutturazione di Casa Coo a Roma (2024);Giovani Under 40
Aut Aut Architettura;Arch. Capobianco;info@aut-studio.com;Nuovo Nido di Manifattura Tabacchi;Giovani Under 40
Supervoid;Arch. Provinciali;info@supervoid.eu;Recupero dell'ex masseria La Mistica a Roma;Giovani Under 40
Fosbury Architecture;Arch. Ardesio;welcome@fosbury.it;"Mostra monografica ""Characters"" alla Magazin Gallery";Giovani Under 40
PlaC;Arch. Ariolfo;info@pla-c.eu;Progetti di rigenerazione urbana site-specific;Giovani Under 40
Grazzini Tonazzini Colombo;Arch. Grazzini;info@grazzinitonazzini.com;"Installazione ""Quintessenza"" vincitrice NXT al MAXXI";Giovani Under 40
Parasite 2.0;Arch. Colombo;info@parasiteparasite.com;Progetto XC Milano presentato alla Capsule Plaza;Giovani Under 40
facchinelli daboit saviane;Arch. Facchinelli;info@facchinellidaboitsaviane.com;Nuova Scuola Secondaria a Puos d'Alpago;Giovani Under 40
Oasi Architects;Arch. Campagna;info@oasiarchitects.com;Realizzazione di padiglioni e residenze su misura;Giovani Under 40
LADO architetti;Arch. Ladinetti;studio@ladoarchitetti.it;Trasformazione monocromatica di Casa LL a Loiano;Giovani Under 40
Atelier delle Verdure;Arch. d'Ambrosio;info@atelierdelleverdure.it;Progetti integrati di architettura del paesaggio;Giovani Under 40
FORM-A;Arch. Maglio;info@form-a.it;Edificio residenziale Boccaccio 164 a Sesto San Giovanni;Giovani Under 40
GG Progetti;Arch. Associati;studio@ggprogetti.it;Ristrutturazioni e pratiche edilizie in centro a Bologna;Giovani Under 40
BRH+;Arch. Brondi;studio@brh.it;Ricerca e allestimento per Artissima a Torino;Giovani Under 40
02arch;Arch. Bergamasco;info@02arch.it;Progetto dell'asilo nido BabyLife a Milano;Giovani Under 40
Small (Studio Milanese);Arch. de Matteis;info@smarch.it;Progetti internazionali tra Italia, Svizzera e Cina;Giovani Under 40
Archifacturing;Arch. Cimarelli;info@archifacturing.it;Design di ambienti innovativi e rigenerazione a Roma;Giovani Under 40
L'Usine;Arch. Associati;info@lusine.it;Fabbrica creativa specializzata in interior design;Giovani Under 40
